datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
10/1/2025 7:00:00 AM,10/1/2025 3:00:00 AM,RFC,MIDATL,PL,PLCO,3180.937,False
10/1/2025 7:00:00 AM,10/1/2025 3:00:00 AM,RFC,MIDATL,PN,PN,1448.018,True
10/1/2025 7:00:00 AM,10/1/2025 3:00:00 AM,RFC,MIDATL,PS,PS,3678.786,True
10/1/2025 7:00:00 AM,10/1/2025 3:00:00 AM,RFC,MIDATL,RECO,RECO,116.014,False
10/1/2025 7:00:00 AM,10/1/2025 3:00:00 AM,RFC,MIDATL,PEP,SMECO,237.664,True
10/1/2025 7:00:00 AM,10/1/2025 3:00:00 AM,RFC,MIDATL,PL,UGI,71.989,True
10/1/2025 7:00:00 AM,10/1/2025 3:00:00 AM,RFC,MIDATL,AE,VMEU,69.130,True
10/1/2025 7:00:00 AM,10/1/2025 3:00:00 AM,RTO,RTO,RTO,RTO,71860.105,False
10/1/2025 8:00:00 AM,10/1/2025 4:00:00 AM,RFC,MIDATL,AE,AECO,803.853,False
10/1/2025 8:00:00 AM,10/1/2025 4:00:00 AM,RFC,WEST,AEP,AEPAPT,3214.137,True
10/1/2025 8:00:00 AM,10/1/2025 4:00:00 AM,RFC,WEST,AEP,AEPIMP,2981.290,True
10/1/2025 8:00:00 AM,10/1/2025 4:00:00 AM,RFC,WEST,AEP,AEPKPT,434.775,True
10/1/2025 8:00:00 AM,10/1/2025 4:00:00 AM,RFC,WEST,AEP,AEPOPT,6678.867,True
10/1/2025 8:00:00 AM,10/1/2025 4:00:00 AM,RFC,WEST,AP,AP,4165.301,True
10/1/2025 8:00:00 AM,10/1/2025 4:00:00 AM,RFC,MIDATL,BC,BC,2389.370,True
10/1/2025 8:00:00 AM,10/1/2025 4:00:00 AM,RFC,WEST,CE,CE,8866.602,True
10/1/2025 8:00:00 AM,10/1/2025 4:00:00 AM,RFC,WEST,DAY,DAY,1536.707,False
10/1/2025 8:00:00 AM,10/1/2025 4:00:00 AM,RFC,WEST,DEOK,DEOK,2288.605,False
10/1/2025 8:00:00 AM,10/1/2025 4:00:00 AM,SERC,SOUTH,DOM,DOM,12083.302,True
10/1/2025 8:00:00 AM,10/1/2025 4:00:00 AM,RFC,MIDATL,DPL,DPLCO,1423.832,False
10/1/2025 8:00:00 AM,10/1/2025 4:00:00 AM,RFC,WEST,DUQ,DUQ,1121.248,False
10/1/2025 8:00:00 AM,10/1/2025 4:00:00 AM,RFC,MIDATL,DPL,EASTON,17.622,True
10/1/2025 8:00:00 AM,10/1/2025 4:00:00 AM,SERC,WEST,EKPC,EKPC,1051.368,True
10/1/2025 8:00:00 AM,10/1/2025 4:00:00 AM,RFC,MIDATL,JC,JC,1714.725,True
10/1/2025 8:00:00 AM,10/1/2025 4:00:00 AM,RFC,MIDATL,ME,ME,1281.399,True
10/1/2025 8:00:00 AM,10/1/2025 4:00:00 AM,RFC,WEST,ATSI,OE,5717.451,True
10/1/2025 8:00:00 AM,10/1/2025 4:00:00 AM,RFC,WEST,OVEC,OVEC,26.000,True
10/1/2025 8:00:00 AM,10/1/2025 4:00:00 AM,RFC,WEST,ATSI,PAPWR,438.506,True
10/1/2025 8:00:00 AM,10/1/2025 4:00:00 AM,RFC,MIDATL,PE,PE,3153.037,True
10/1/2025 8:00:00 AM,10/1/2025 4:00:00 AM,RFC,MIDATL,PEP,PEPCO,1993.475,True
10/1/2025 8:00:00 AM,10/1/2025 4:00:00 AM,RFC,MIDATL,PL,PLCO,3234.582,False
10/1/2025 8:00:00 AM,10/1/2025 4:00:00 AM,RFC,MIDATL,PN,PN,1469.638,True
